日付,花の名前
05-01,エーデルワイス
05-02,スズラン
05-03,クレマチス
05-04,ヤマブキ
05-05,アヤメ（アイリス）
05-06,クチナシ
05-07,木蓮
05-08,シャクナゲ
05-09,ハナミズキ
05-10,カキツバタ
05-11,リンゴ（花）
05-12,アスチルベ
05-13,サンザシ
05-14,シャクヤク
05-15,ドクダミ
05-16,アリウム
05-17,フクシア
05-18,ペチュニア
05-19,サツキ
05-20,カタバミ
05-21,カスミソウ
05-22,フクシア
05-23,ジャーマンアイリス
05-24,アカツメクサ
05-25,ラナンキュラス
05-26,ゼラニウム
05-27,マトカリア
05-28,アマリリス
05-29,ニゲラ
05-30,ペラルゴニウム
05-31,ルピナス
06-01,カスミソウ
06-02,バラ
06-03,スイカズラ
06-04,ウツギ
06-05,ダリア
06-06,ペンステモン
06-07,クチナシ
06-08,ジャスミン
06-09,スイートピー
06-10,アカンサス
06-11,アガパンサス
06-12,ライラック
06-13,ジギタリス
06-14,ブルースター
06-15,カーネーション
06-16,チューベローズ
06-17,キバナコスモス
06-18,タチアオイ
06-19,バラ
06-20,ベロニカ
06-21,ツキミソウ
06-22,スイカズラ
06-23,タチアオイ
06-24,バーベナ
06-25,ヒルガオ
06-26,ペンタス
06-27,トケイソウ
06-28,トルコキキョウ
06-29,アガパンサス
06-30,コモンセージ
07-01,マツバギク
07-02,キンギョソウ
07-03,ハス
07-04,ネジバナ
07-05,ラベンダー
07-06,ヒマワリ
07-07,アベリア
07-08,ホオズキ
07-09,ギボウシ
07-10,ホタルブクロ
07-11,ハイビスカス
07-12,ノコギリソウ
07-13,グラジオラス
07-14,ナデシコ
07-15,ネムノキ
07-16,ポーチュラカ
07-17,ヒルガオ
07-18,マリーゴールド
07-19,トリカブト
07-20,トルコキキョウ